1,งานในหน้าที่ของงานกำลังพล แบ่งได้ 2 ประเภทหลัก ประกอบด้วย...,1งานธุรการประจำ และ งานกำลังพลในการปฏิบัติการ,2งานธุรการประจำ และ งานธุรการชั่วคราว,3งานธุรการประจำ และ งานกำลังพลชั่วคราว,4งานธุรการประจำ และ งานกำลังพลหลัก,1,,,,,
2,งานธุรการประจำ ได้แก่,1งานธุรการและสารบรรณ,2งานทะเบียนพล,3งานคดีวินัย,4ถูกทุกข้อ,4,,,,,
3,ข้อใดมิใช่กิจกรรมของฝ่ายกำลังพล ในการรักษายอดกำลัง,1การรายงานกำลังพลตามระยะเวลา,2การจัดทำแผนรักษาความปลอดภัยกำลังพล,3ประมาณการสูญเสีย,4การทดแทนกำลังพล,2,,,,,
4,ข้อใดถือว่าเป็นกิจกรรมของฝ่ายกำลังพล ในการพัฒนาและการรักษาขวัญของกำลังพล,1การประเมินค่าของสิ่งบอกเหตุทางขวัญ,2การบริการกำลังพล,3การดำเนินการเรื่องบำเหน็จรางวัล,4ถูกทุกข้อ,4,,,,,
5,งานในหน้าที่ร่วมของฝ่ายกำลังพลในฐานะฝ่ายอำนวยการ ผู้มีหน้าที่ช่วยเหลือผู้บังคับบัญชาเป็นเช่นเดียวกับฝ่ายอำนวยการอื่น ๆ คือ..............,1การให้ข้อมูลข่าวสาร การให้ข้อเสนอแนะต่อผู้บังคับบัญชา การจัดทำคำสั่งและการกำกับดูแล,2การให้ข้อมูลข่าวสาร การประมาณการ การให้ข้อเสนอแนะต่อผู้บังคับบัญชา การจัดทำคำสั่ง,3การให้ข้อมูลข่าวสาร การประมาณการ การให้ข้อเสนอแนะต่อผู้บังคับบัญชา การจัดทำคำสั่งและการกำกับดูแล,4การให้ข้อมูลข่าวสาร การประมาณการ การจัดทำคำสั่งและการกำกับดูแล,3,,,,,
6,ข้อใดถูกต้อง  ในเรื่องการให้ข้อมูลข่าวสารของฝ่ายกำลังพลในฐานะฝ่ายอำนวยการ     ,1ข้อมูลข่าวสารที่ฝ่ายกำลังพลเสนอต่อผู้บังคับบัญชา คือข่าวสารที่ผู้บังคับบัญชาจำเป็นต้องรู้เพื่อทราบสถานการณ์กำลังพลที่เป็นอยู่ เพื่อจะนำมาใช้ในการตกลงใจได้ถูกต้อง,2ฝ่ายกำลังพลจะต้องวิเคราะห์ประมวลผลข่าวสารต่างๆ ให้ได้ข้อเท็จจริง ซึ่งจะมีผลกระทบต่อภารกิจ และนำเสนอต่อผู้บังคับบัญชาผู้เดียว,3ข่าวสารของฝ่ายกำลังพล คือ ข่าวสารซึ่งเกี่ยวข้องกับงานในหน้าที่เฉพาะของฝ่ายกำลังพลซึ่งมีที่มาจากสถานภาพกำลังพลเป็นหลัก,4ข่าวสารของฝ่ายกำลังพล คือ ข่าวสารที่เกี่ยวข้องกับงานในหน้าที่เฉพาะของฝ่ายกำลังพล อันประกอบด้วย 3 ประเด็น ได้แก่ การรักษายอดกำลังพล การทดแทนกำลังพล และการดำเนินการกำลังพล,1,,,,,
7,ข้อใดถูกต้อง ในเรื่องการประมาณการของฝ่ายกำลังพล,1ฝ่ายกำลังพลต้องประมาณสถานการณ์ในเรื่องกำลังพลโดยต่อเนื่องทันสมัยอยู่ตลอดเวลา โดยการนำข้อมูลที่ฝ่ายกำลังพลมีอยู่มาวิเคราะห์กับภารกิจ สถานการณ์ของฝ่ายกำลังพล,2ในการประมาณการฝ่ายกำลังต้องพิจารณาถึงข้อสนับสนุนและข้อจำกัด ตลอดจนปัญหาต่าง ๆ ที่มีผลกระทบต่อกำลังพลในการปฏิบัติภารกิจ,3ในการประมาณการกำลังพล เพื่อเสนอแนะต่อผู้บังคับบัญชา ฝ่ายกำลังพลจะต้องทราบภารกิจของหน่วยที่จะดำเนินการในห้วงระยะเวลานั้น ๆ และนำสถานการณ์ด้านต่าง ๆ ซึ่งได้จากการแลกเปลี่ยนข่าวสารจากฝ่ายอำนวยการอื่น ๆ มาเป็นข้อพิจารณา,4ข้อ 2. และ ข้อ 3. ถูก,4,,,,,
8,การเสนอประมาณการกำลังพล กระทำได้ 2 ลักษณะคือ,1การเสนอการประมาณการด้วยวาจาและทางวิทยุราชการ,2การเสนอการประมาณการด้วยลายลักษณ์อักษรและทางวิทยุราชการ,3การเสนอการประมาณการด้วยโทรสารและแบบเป็นลายลักษณ์อักษร,4การเสนอการประมาณการด้วยวาจาและแบบเป็นลายลักษณ์อักษร,4,,,,,
9,ข้อใดถูกต้อง ในเรื่องการทำแผนคำสั่งของฝ่ายกำลังพล,1การทำแผนคำสั่งกำลังพลให้กระทำตามข้อพิจารณาของฝ่ายกำลังพลเป็นหลัก,2การทำแผนคำสั่งกำลังพลให้กระทำตามข้อตกลงใจของผู้บังคับบัญชาเป็นหลัก,3การทำแผนคำสั่งกำลังพลเมื่อจัดทำขึ้นมาแล้วไม่ควรเปลี่ยนแปลง เนื่องจากจะทำให้เกิดความสับสนต่อผู้ปฏิบัติงาน,4ฝ่ายกำลังพลสามารถจัดทำแผนและคำสั่งไปยังหน่วยรองโดยใช้รูปแบบประกาศหนังสือเวียน หนังสือราชการเท่านั้น,2,,,,,
10,ข้อใดถูกต้อง เกี่ยวกับการปฏิบัติงานในหน้าที่ร่วมของฝ่ายกำลังพลในการปฏิบัติการ ,1ความสำเร็จของงานทุกขั้นตอนการปฏิบัติเกิดขึ้นได้เพราะการประสานงาน,2การประสานงานจะทำให้ฝ่ายกำลังพลได้รับข้อมูลข่าวสารครบถ้วน,3การประสานงานกับฝ่ายอำนวยการและสนับสนุนอื่นๆ พึงระมัดระวังในการให้คำปรึกษาหารือ,4. ถูกทุกข้อ,4,,,,,
